InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsCancelled,IsReturn,Year,Month,Day,Hour,DayOfWeek,Weekday,TotalPrice,Season,TransactionType,IsLoyalCustomer,ProductCategory
536365,85123A,White Hanging Heart T-Light Holder,6,,2.55,17850.0,United Kingdom,False,False,,,,,,,15.299999999999999,,Sale,True,Home
536365,71053,White Metal Lantern,6,,3.39,17850.0,United Kingdom,False,False,,,,,,,20.34,,Sale,True,Home
536365,84406B,Cream Cupid Hearts Coat Hanger,8,,2.75,17850.0,United Kingdom,False,False,,,,,,,22.0,,Sale,True,Other
536365,84029G,Knitted Union Flag Hot Water Bottle,6,,3.39,17850.0,United Kingdom,False,False,,,,,,,20.34,,Sale,True,Other
536365,84029E,Red Woolly Hottie White Heart.,6,,3.39,17850.0,United Kingdom,False,False,,,,,,,20.34,,Sale,True,Other
536365,22752,Set 7 Babushka Nesting Boxes,2,,7.65,17850.0,United Kingdom,False,False,,,,,,,15.3,,Sale,True,Other
536365,21730,Glass Star Frosted T-Light Holder,6,,4.25,17850.0,United Kingdom,False,False,,,,,,,25.5,,Sale,True,Home
536366,22633,Hand Warmer Union Jack,6,,1.85,17850.0,United Kingdom,False,False,,,,,,,11.100000000000001,,Sale,True,Other
536366,22632,Hand Warmer Red Polka Dot,6,,1.85,17850.0,United Kingdom,False,False,,,,,,,11.100000000000001,,Sale,True,Other
536367,84879,Assorted Colour Bird Ornament,32,,1.69,13047.0,United Kingdom,False,False,,,,,,,54.08,,Sale,True,Other
536367,22745,Poppy'S Playhouse Bedroom,6,,2.1,13047.0,United Kingdom,False,False,,,,,,,12.600000000000001,,Sale,True,Other
536367,22748,Poppy'S Playhouse Kitchen,6,,2.1,13047.0,United Kingdom,False,False,,,,,,,12.600000000000001,,Sale,True,Other
536367,22749,Feltcraft Princess Charlotte Doll,8,,3.75,13047.0,United Kingdom,False,False,,,,,,,30.0,,Sale,True,Toys
536367,22310,Ivory Knitted Mug Cosy,6,,1.65,13047.0,United Kingdom,False,False,,,,,,,9.899999999999999,,Sale,True,Kitchen
536367,84969,Box Of 6 Assorted Colour Teaspoons,6,,4.25,13047.0,United Kingdom,False,False,,,,,,,25.5,,Sale,True,Other
536367,22623,Box Of Vintage Jigsaw Blocks,3,,4.95,13047.0,United Kingdom,False,False,,,,,,,14.850000000000001,,Sale,True,Other
536367,22622,Box Of Vintage Alphabet Blocks,2,,9.95,13047.0,United Kingdom,False,False,,,,,,,19.9,,Sale,True,Other
536367,21754,Home Building Block Word,3,,5.95,13047.0,United Kingdom,False,False,,,,,,,17.85,,Sale,True,Other
536367,21755,Love Building Block Word,3,,5.95,13047.0,United Kingdom,False,False,,,,,,,17.85,,Sale,True,Other
536367,21777,Recipe Box With Metal Heart,4,,7.95,13047.0,United Kingdom,False,False,,,,,,,31.8,,Sale,True,Other
536367,48187,Doormat New England,4,,7.95,13047.0,United Kingdom,False,False,,,,,,,31.8,,Sale,True,Other
536368,22960,Jam Making Set With Jars,6,,4.25,13047.0,United Kingdom,False,False,,,,,,,25.5,,Sale,True,Other
536368,22913,Red Coat Rack Paris Fashion,3,,4.95,13047.0,United Kingdom,False,False,,,,,,,14.850000000000001,,Sale,True,Other
536368,22912,Yellow Coat Rack Paris Fashion,3,,4.95,13047.0,United Kingdom,False,False,,,,,,,14.850000000000001,,Sale,True,Other
536368,22914,Blue Coat Rack Paris Fashion,3,,4.95,13047.0,United Kingdom,False,False,,,,,,,14.850000000000001,,Sale,True,Other
536369,21756,Bath Building Block Word,3,,5.95,13047.0,United Kingdom,False,False,,,,,,,17.85,,Sale,True,Other
536370,22728,Alarm Clock Bakelike Pink,24,,3.75,12583.0,France,False,False,,,,,,,90.0,,Sale,True,Other
536370,22727,Alarm Clock Bakelike Red,24,,3.75,12583.0,France,False,False,,,,,,,90.0,,Sale,True,Other
536370,22726,Alarm Clock Bakelike Green,12,,3.75,12583.0,France,False,False,,,,,,,45.0,,Sale,True,Other
536370,21724,Panda And Bunnies Sticker Sheet,12,,0.85,12583.0,France,False,False,,,,,,,10.2,,Sale,True,Other
536370,21883,Stars Gift Tape,24,,0.65,12583.0,France,False,False,,,,,,,15.600000000000001,,Sale,True,Other
536370,10002,Inflatable Political Globe,48,,0.85,12583.0,France,False,False,,,,,,,40.8,,Sale,True,Other
536370,21791,Vintage Heads And Tails Card Game,24,,1.25,12583.0,France,False,False,,,,,,,30.0,,Sale,True,Gift
536370,21035,Set/2 Red Retrospot Tea Towels,18,,2.95,12583.0,France,False,False,,,,,,,53.1,,Sale,True,Other
536370,22326,Round Snack Boxes Set Of4 Woodland,24,,2.95,12583.0,France,False,False,,,,,,,70.80000000000001,,Sale,True,Other
536370,22629,Spaceboy Lunch Box,24,,1.95,12583.0,France,False,False,,,,,,,46.8,,Sale,True,Other
536370,22659,Lunch Box I Love London,24,,1.95,12583.0,France,False,False,,,,,,,46.8,,Sale,True,Other
